iter	Passed	Remaining
0	150	149988
1	151	75351
2	151	50406
3	152	37925
4	152	30445
5	153	25478
6	154	21924
7	155	19341
8	156	17269
9	157	15590
10	158	14212
11	158	13063
12	159	12089
13	159	11264
14	160	10555
15	161	9936
16	162	9379
17	162	8882
18	163	8437
19	163	8035
20	164	7671
21	165	7341
22	165	7042
23	166	6766
24	167	6516
25	167	6284
26	168	6066
27	169	5873
28	170	5696
29	170	5523
30	171	5364
31	172	5216
32	173	5074
33	173	4940
34	174	4812
35	175	4690
36	175	4575
37	176	4466
38	177	4362
39	177	4262
40	178	4169
41	178	4080
42	179	3995
43	180	3916
44	180	3840
45	181	3767
46	182	3698
47	183	3638
48	184	3574
49	184	3512
50	185	3451
51	186	3392
52	186	3337
53	187	3285
54	188	3234
55	188	3183
56	189	3134
57	190	3087
58	190	3041
59	191	2997
60	191	2954
61	192	2912
62	193	2872
63	193	2835
64	194	2800
65	195	2764
66	195	2728
67	196	2693
68	197	2662
69	198	2633
70	198	2603
71	199	2574
72	200	2545
73	201	2519
74	202	2496
75	203	2470
76	203	2443
77	204	2416
78	205	2391
79	205	2365
80	206	2339
81	206	2315
82	207	2288
83	207	2266
84	208	2245
85	209	2224
86	209	2202
87	210	2180
88	211	2161
89	211	2143
90	212	2127
91	213	2108
92	214	2089
93	215	2072
94	215	2055
95	216	2039
96	217	2022
97	217	2005
98	218	1988
99	219	1971
100	219	1955
101	220	1939
102	220	1923
103	221	1908
104	222	1894
105	222	1879
106	223	1865
107	224	1851
108	224	1836
109	225	1823
110	226	1810
111	227	1800
112	227	1788
113	228	1775
114	229	1764
115	230	1753
116	230	1741
117	231	1729
118	232	1717
119	232	1705
120	233	1694
121	233	1682
122	234	1672
123	235	1661
124	236	1652
125	236	1642
126	237	1631
127	237	1621
128	238	1611
129	239	1601
130	239	1590
131	240	1581
132	241	1574
133	242	1568
134	243	1560
135	244	1552
136	244	1543
137	245	1534
138	246	1525
139	246	1516
140	247	1507
141	247	1497
142	248	1489
143	249	1480
144	249	1472
145	250	1464
146	251	1457
147	251	1449
148	252	1441
149	252	1433
150	253	1425
151	254	1418
152	254	1410
153	255	1404
154	256	1399
155	257	1393
156	258	1386
157	259	1380
158	259	1374
159	260	1367
160	260	1359
161	261	1352
162	262	1345
163	262	1339
164	263	1332
165	264	1326
166	264	1320
167	265	1314
168	266	1308
169	266	1302
170	267	1295
171	267	1289
172	268	1283
173	269	1277
174	269	1271
175	271	1269
176	272	1265
177	273	1260
178	273	1255
179	274	1251
180	275	1246
181	276	1240
182	276	1235
183	277	1229
184	278	1225
185	278	1220
186	279	1215
187	280	1209
188	280	1204
189	281	1199
190	281	1194
191	282	1189
192	283	1184
193	283	1179
194	284	1174
195	285	1172
196	286	1169
197	287	1165
198	288	1161
199	289	1157
200	290	1155
201	291	1151
202	292	1148
203	293	1144
204	294	1141
205	295	1138
206	296	1134
207	297	1131
208	298	1128
209	298	1124
210	300	1124
211	301	1120
212	302	1116
213	303	1113
214	303	1109
215	304	1104
216	305	1100
217	305	1096
218	306	1092
219	307	1088
220	307	1084
221	308	1080
222	308	1076
223	309	1072
224	310	1068
225	310	1064
226	311	1060
227	311	1056
228	312	1052
229	313	1049
230	314	1047
231	315	1045
232	316	1042
233	317	1039
234	318	1037
235	319	1033
236	320	1030
237	320	1027
238	321	1023
239	321	1019
240	322	1016
241	323	1012
242	323	1008
243	324	1005
244	325	1001
245	325	998
246	326	994
247	326	991
248	327	988
249	328	985
250	329	982
251	330	979
252	330	976
253	331	973
254	332	970
255	332	966
256	333	963
257	333	960
258	334	957
259	335	954
260	336	951
261	336	948
262	337	945
263	337	942
264	338	939
265	339	936
266	339	932
267	340	929
268	341	927
269	342	925
270	342	922
271	343	920
272	344	917
273	345	914
274	345	911
275	346	909
276	347	907
277	348	905
278	349	902
279	350	900
280	350	897
281	351	895
282	352	892
283	352	889
284	353	886
285	353	883
286	354	880
287	355	878
288	355	875
289	356	873
290	357	870
291	358	868
292	359	867
293	360	864
294	360	862
295	361	860
296	362	857
297	363	855
298	363	852
299	364	849
300	364	847
301	365	844
302	366	841
303	366	839
304	367	836
305	367	834
306	368	831
307	369	829
308	369	826
309	370	824
310	370	821
311	371	819
312	372	816
313	373	815
314	373	813
315	374	811
316	375	808
317	375	806
318	376	803
319	377	801
320	377	799
321	378	796
322	379	794
323	379	792
324	380	789
325	380	787
326	381	785
327	382	782
328	382	780
329	383	778
330	384	777
331	385	775
332	385	772
333	386	770
334	387	768
335	388	767
336	388	765
337	389	762
338	390	760
339	391	759
340	392	757
341	392	755
342	393	753
343	393	751
344	394	749
345	395	747
346	395	744
347	396	742
348	397	740
349	397	739
350	398	737
351	399	734
352	399	732
353	400	730
354	401	728
355	401	726
356	403	727
357	404	725
358	405	724
359	406	722
360	407	720
361	407	718
362	408	716
363	409	714
364	409	712
365	410	710
366	411	708
367	411	707
368	412	705
369	413	703
370	414	702
371	415	700
372	416	699
373	417	698
374	418	696
375	419	695
376	420	694
377	420	692
378	421	691
379	422	689
380	423	687
381	424	686
382	424	684
383	426	683
384	427	682
385	427	680
386	428	679
387	429	677
388	430	675
389	431	675
390	432	673
391	433	672
392	434	670
393	434	668
394	435	667
395	436	666
396	437	664
397	438	663
398	439	662
399	440	660
400	440	658
401	441	656
402	442	654
403	442	653
404	443	651
405	443	649
406	444	647
407	445	646
408	446	645
409	447	644
410	448	642
411	449	641
412	450	640
413	450	638
414	451	636
415	452	634
416	452	633
417	453	631
418	454	630
419	455	628
420	455	626
421	456	624
422	456	623
423	457	621
424	458	619
425	458	618
426	459	616
427	460	614
428	461	613
429	462	612
430	462	611
431	463	609
432	464	607
433	464	605
434	465	604
435	465	602
436	466	601
437	467	599
438	468	598
439	469	597
440	470	595
441	471	594
442	472	593
443	472	592
444	473	590
445	474	588
446	474	587
447	476	586
448	476	585
449	477	583
450	478	582
451	479	581
452	480	579
453	481	578
454	482	577
455	482	576
456	483	574
457	484	573
458	485	571
459	485	570
460	486	568
461	486	567
462	487	565
463	488	563
464	489	562
465	490	561
466	490	560
467	491	558
468	492	557
469	493	556
470	494	554
471	494	553
472	495	552
473	496	551
474	497	549
475	497	548
476	498	546
477	499	545
478	499	543
479	500	542
480	501	541
481	502	539
482	503	538
483	504	537
484	505	536
485	506	535
486	507	534
487	508	533
488	509	532
489	509	530
490	510	529
491	511	528
492	512	527
493	513	526
494	514	524
495	515	523
496	516	522
497	517	521
498	518	520
499	519	519
500	519	517
501	520	516
502	521	515
503	522	514
504	523	513
505	524	512
506	525	511
507	526	509
508	527	508
509	527	507
510	528	505
511	529	504
512	530	503
513	531	502
514	532	501
515	533	500
516	534	499
517	534	497
518	535	496
519	536	495
520	537	493
521	537	492
522	538	491
523	539	490
524	540	488
525	540	487
526	541	485
527	542	484
528	542	483
529	543	481
530	544	480
531	544	479
532	545	477
533	545	476
534	546	475
535	547	474
536	548	472
537	549	471
538	549	470
539	550	469
540	551	467
541	552	466
542	552	465
543	553	464
544	554	463
545	555	461
546	555	460
547	556	459
548	557	457
549	557	456
550	558	455
551	559	453
552	559	452
553	560	451
554	561	450
555	562	449
556	563	447
557	563	446
558	564	445
559	565	444
560	566	443
561	567	442
562	567	440
563	568	439
564	569	438
565	569	436
566	570	435
567	570	434
568	571	433
569	572	431
570	573	430
571	573	429
572	574	427
573	575	426
574	575	425
575	576	424
576	577	423
577	578	422
578	578	420
579	579	419
580	580	418
581	581	417
582	581	416
583	582	414
584	583	413
585	583	412
586	584	411
587	585	409
588	585	408
589	587	408
590	588	407
591	589	405
592	589	404
593	590	403
594	591	402
595	592	401
596	592	400
597	593	399
598	594	397
599	595	396
600	595	395
601	596	394
602	597	393
603	598	392
604	598	390
605	599	389
606	600	388
607	600	387
608	601	386
609	602	384
610	602	383
611	603	382
612	603	381
613	604	380
614	605	379
615	606	378
616	607	376
617	607	375
618	608	374
619	609	373
620	610	372
621	611	371
622	612	370
623	613	369
624	614	368
625	614	367
626	615	366
627	615	364
628	616	363
629	617	362
630	617	361
631	618	360
632	618	358
633	619	357
634	620	356
635	621	355
636	622	354
637	623	353
638	624	352
639	624	351
640	625	350
641	625	349
642	626	347
643	627	346
644	628	345
645	628	344
646	629	343
647	630	342
648	630	341
649	631	339
650	631	338
651	632	337
652	633	336
653	633	335
654	634	334
655	635	333
656	636	332
657	637	331
658	637	330
659	638	328
660	639	327
661	639	326
662	640	325
663	640	324
664	641	323
665	642	322
666	643	321
667	644	320
668	644	318
669	645	317
670	646	316
671	646	315
672	647	314
673	647	313
674	649	312
675	650	311
676	651	310
677	652	309
678	653	309
679	654	308
680	655	307
681	656	306
682	657	305
683	658	304
684	659	303
685	659	302
686	660	300
687	661	299
688	661	298
689	662	297
690	663	296
691	664	295
692	665	294
693	666	293
694	666	292
695	667	291
696	668	290
697	669	289
698	670	288
699	670	287
700	671	286
701	672	285
702	672	284
703	673	283
704	673	282
705	674	280
706	675	280
707	676	279
708	677	278
709	678	277
710	679	276
711	680	275
712	681	274
713	681	273
714	682	271
715	682	270
716	683	269
717	684	268
718	685	267
719	686	266
720	686	265
721	687	264
722	688	263
723	688	262
724	689	261
725	689	260
726	690	259
727	691	258
728	692	257
729	692	256
730	693	255
731	694	254
732	695	253
733	695	252
734	696	251
735	697	250
736	698	249
